#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
 628|132.870457  11.719110|3927.078|1922.652|16.362|0.018|15.443|0.007|14.513|0.001|   1.07| 1.19|  -0.89| 1.84| 97|999.999|999.999
 629|133.016792  11.719218|1760.203|1923.336|18.604|0.039|17.428|0.009|16.174|0.013|  20.82| 2.50| -18.74| 2.44|  0|999.999|999.999
 630|132.928871  11.719462|3062.068|1927.385|22.428|0.463|21.283|0.254|19.864|0.117|  22.31|16.42|  -1.07| 1.84| 14|999.999|999.999
 631|132.740026  11.719460|5858.510|1930.264|99.999|0.999|21.024|0.131|18.448|0.221|   6.84|12.73| -19.93|27.25| 15|999.999|999.999
 632|132.931191  11.719793|3027.706|1932.365|22.099|0.362|21.039|0.130|20.155|0.094|  -4.64| 6.25|  -1.73|16.84| 54|999.999|999.999
 633|133.095249  11.719873| 598.630|1933.438|22.323|0.215|20.206|0.058|17.730|0.001| -10.95|10.35|  -4.05|17.20| 31|999.999|999.999
 634|132.919394  11.719902|3202.402|1934.112|20.856|0.131|19.468|0.050|17.884|0.014|  17.20| 4.58|  -8.27| 7.68|  0|999.999|999.999
 635|132.597019  11.719905|7975.780|1941.126|22.023|0.259|20.846|0.094|19.275|0.058|  -1.31| 9.40|   0.59| 5.41| 51|999.999|999.999
 636|132.720617  11.720530|6145.863|1946.904|17.755|0.007|16.883|0.013|15.957|0.003|   6.43| 1.73|   2.26| 2.74| 13|999.999|999.999
 637|132.840991  11.721590|4363.383|1960.546|15.191|0.017|14.489|0.010|13.751|0.011|   0.65| 0.54|  -0.42| 2.50| 99| 34.241|  0.126
 638|132.950919  11.721826|2735.555|1962.971|19.450|0.031|18.058|0.011|16.547|0.008|  11.13| 5.06|   4.22| 3.09|  0|999.999|999.999
 639|132.839588  11.721773|4384.147|1963.337|21.865|0.307|21.145|0.084|20.256|0.181| -13.21|40.04| -21.18|36.24| 19|999.999|999.999
 640|132.650565  11.721696|7183.019|1966.456|13.602|0.009|12.642|0.017|11.709|0.005|  -1.37| 2.20|   3.09| 2.92| 99|999.999|999.999
 641|132.883487  11.722483|3734.069|1973.483|20.325|0.041|19.009|0.051|17.667|0.023|   6.25| 5.95|   1.73| 5.47| 23|999.999|999.999
 642|132.630340  11.722496|7482.424|1979.189|20.867|0.052|18.960|0.034|16.985|0.030|   1.07| 3.27|  -0.59| 6.01| 59|999.999|999.999
 643|132.619974  11.722695|7635.875|1982.535|22.312|0.356|20.739|0.097|18.302|0.999| -15.35| 5.06|  10.95|19.64| 33|999.999|999.999
 644|133.077878  11.723503| 855.764|1988.229|13.244|0.006|12.602|0.009|11.923|0.001|   0.30| 1.78|   0.71| 1.90|100|999.999|999.999
 645|132.859092  11.723513|4095.304|1989.367|18.974|0.028|18.090|0.024|17.129|0.010|   5.59| 2.68|   4.11| 1.78| 19|999.999|999.999
 646|133.071560  11.723718| 949.302|1991.456|99.999|0.999|21.000|0.262|19.593|0.999|  17.85|19.28|   1.96|10.35| 14|999.999|999.999
 647|132.826397  11.723656|4579.444|1992.010|14.036|0.004|13.402|0.004|12.739|0.019|   0.48| 1.78|  -0.65| 1.31|100| 34.114|  0.083
 648|132.864840  11.723881|4010.176|1994.849|23.210|0.547|20.471|0.099|17.663|0.102| -19.22|10.23|  19.99|13.69|  3|999.999|999.999
 649|132.974947  11.724255|2379.743|1999.570|17.253|0.005|16.215|0.012|15.106|0.011|   0.30| 5.47| -14.40|16.42|  0|999.999|999.999
 650|132.890505  11.724351|3630.111|2001.655|21.040|0.847|21.183|0.155|20.556|0.999|  -4.70| 2.92| -10.17|19.04| 45|999.999|999.999
 651|132.657156  11.724212|7085.364|2004.287|22.464|0.999|21.236|0.302|19.207|0.999|  45.64| 2.44|  -3.51|27.55|  0|999.999|999.999
 652|133.104113  11.724620| 467.388|2005.270|21.869|0.310|19.819|0.079|17.561|0.014|  -4.05|13.69|  15.53|14.58|  4|999.999|999.999
 653|132.996895  11.724805|2054.751|2007.824|19.319|0.033|17.685|0.017|15.910|0.007|  -5.00| 1.19|  -0.48| 3.33| 64|999.999|999.999
 654|132.958892  11.725031|2617.459|2011.379|21.898|0.029|21.826|0.448|20.111|0.999|  13.15|27.55|  39.03| 5.12| 14|999.999|999.999
 655|132.807731  11.724938|4855.833|2011.693|99.999|0.999|21.035|0.319|19.772|0.999|  44.27|29.87|  48.55|29.87|  0|999.999|999.999
 656|132.952345  11.725354|2714.399|2016.294|18.443|0.013|17.182|0.013|15.764|0.003|  -1.73| 2.68|   1.07| 1.78| 89|999.999|999.999
 657|132.698332  11.725086|6475.704|2016.341|22.197|0.999|22.342|0.277|99.999|0.999| -24.69|23.62|  26.06|27.43| 42|999.999|999.999
 658|132.859986  11.725533|4082.016|2019.887|22.149|0.999|22.172|0.054|99.999|0.999|  -7.32|23.56|  10.89| 6.96| 47|999.999|999.999
 659|132.611743  11.725268|7757.645|2021.702|17.835|0.006|17.220|0.006|16.529|0.001|  13.98| 3.75| -13.69| 2.56|  0|999.999|999.999
 660|132.562767  11.725313|8482.593|2024.119|99.999|0.999|19.594|0.071|18.503|0.017|  -2.56|10.00| -20.59| 9.40|  0|999.999|999.999
 661|133.084937  11.726183| 751.257|2028.782|19.529|0.036|18.029|0.044|16.349|0.002|   5.00| 4.52|  -4.88| 3.57| 16|999.999|999.999
 662|132.740307  11.726029|5854.177|2029.554|99.999|0.999|21.052|0.166|19.260|0.999|  23.80|21.06| -18.21|23.98|  2|999.999|999.999
 663|132.913716  11.726534|3286.384|2034.427|17.529|0.007|16.449|0.011|15.300|0.002|   1.13| 1.19|   0.89| 3.09| 94|999.999|999.999
 664|132.836994  11.726463|4422.470|2034.274|23.077|0.814|20.443|0.084|18.354|0.092|   3.57| 7.02|   5.65|20.23| 36|999.999|999.999
 665|132.843985  11.726599|4318.950|2036.226|19.383|0.042|18.745|0.032|18.022|0.036|   9.76| 3.51|  -9.46| 5.30|  0|999.999|999.999
 666|132.924771  11.726997|3122.671|2041.329|13.277|0.007|12.695|0.013|12.011|0.013|  -0.48| 1.96|   0.89| 0.89|100| 56.150|  0.058
 667|132.585913  11.726464|8139.955|2040.671|20.581|0.087|20.161|0.096|19.476|0.113|   9.64| 9.88|  -1.43|20.59| 13|999.999|999.999
 668|133.012159  11.727092|1828.722|2042.373|20.257|0.135|18.538|0.029|16.704|0.015|   1.49| 5.53|   4.05| 4.94| 57|999.999|999.999
 669|132.991566  11.727388|2133.631|2046.891|19.484|0.009|17.821|0.029|15.957|0.009|   4.22| 4.58|  -5.65| 7.85| 15|999.999|999.999
 670|132.981927  11.727557|2276.353|2049.464|17.103|0.006|16.056|0.008|14.904|0.015|   4.52| 5.53| -10.00|11.54|  0|999.999|999.999
 671|132.557266  11.727035|8563.955|2050.359|99.999|0.999|19.702|0.020|17.870|0.007|   3.69|10.06|  -0.95|13.98| 28|999.999|999.999
 672|132.954077  11.727744|2688.723|2052.418|16.105|0.007|15.284|0.003|14.404|0.004|   0.54| 1.37|   0.59| 0.54| 98|999.999|999.999
 673|132.722266  11.727791|6121.269|2056.618|15.062|0.002|14.356|0.009|13.569|0.001|   0.00| 0.77|   0.24| 2.86| 99| 32.902|  0.124
 674|133.046775  11.728846|1316.202|2068.911|18.251|0.020|16.936|0.008|15.433|0.010|  -0.83| 1.31|   0.71| 2.20| 92|999.999|999.999
 675|133.046460  11.729070|1320.871|2072.302|18.400|0.020|17.133|0.014|15.746|0.013|   2.14| 2.02|   1.96| 1.90| 81|999.999|999.999
 676|132.591956  11.728680|8050.431|2073.951|21.780|0.023|20.269|0.036|18.512|0.004|   5.18| 6.43|  -6.43| 4.46| 23|999.999|999.999
 677|132.888503  11.729155|3659.688|2074.289|24.863|2.361|21.008|0.259|18.862|0.999|  11.19|17.14| -20.94|16.90|  9|999.999|999.999
 678|132.841628  11.729197|4353.792|2075.537|17.791|0.002|16.674|0.017|15.466|0.020|  -0.48| 0.83|   1.96| 1.37| 92|999.999|999.999
 679|133.063270  11.729587|1071.996|2080.158|20.978|0.051|19.117|0.062|16.718|0.019|  22.73| 2.92| -76.16| 4.58|  0|999.999|999.999
 680|132.638120  11.729136|7367.043|2079.314|18.115|0.008|17.043|0.016|15.863|0.008|  13.51| 3.33| -19.46| 2.26|  0|999.999|999.999
 681|132.773982  11.729705|5355.463|2084.404|14.715|0.006|14.018|0.016|13.254|0.008|   1.19| 1.31|   1.49| 2.38| 99| 48.287|  0.242
 682|132.720374  11.729702|6149.221|2085.559|18.583|0.030|17.485|0.017|16.189|0.018|  11.54| 2.50| -10.23| 3.39|  0|999.999|999.999
 683|133.034858  11.730143|1492.630|2088.497|20.465|0.139|19.816|0.030|18.979|0.095|  16.18| 7.79|   4.28| 3.21|  0|999.999|999.999
 684|132.995153  11.730261|2080.488|2090.311|20.244|0.019|18.524|0.025|16.362|0.004|  13.51| 1.73| -21.60| 6.90|  0|999.999|999.999
 685|132.893754  11.730410|3581.915|2093.206|15.334|0.022|14.580|0.013|13.823|0.002|  -2.20| 1.55|  -1.31| 2.68| 98| 71.678|  0.124
 686|132.995624  11.730510|2073.506|2094.066|17.726|0.003|16.754|0.019|15.734|0.001|  15.53| 4.52|   0.89| 7.20|  0|999.999|999.999
 687|133.019327  11.730581|1722.574|2095.109|21.478|0.040|20.610|0.098|19.785|0.182| -11.13|21.84| -18.03|26.95|  8|999.999|999.999
 688|132.651211  11.730193|7173.200|2094.890|22.127|0.199|22.146|0.219|99.999|0.999|  -0.06| 9.64|  11.54|19.34| 44|999.999|999.999
 689|132.875550  11.730521|3851.460|2095.087|13.783|0.012|13.120|0.011|12.436|0.010|  -3.21| 2.86|  -0.36| 3.87| 99| 33.461|  0.120
 690|132.793031  11.730457|5073.382|2095.398|20.830|0.122|19.211|0.051|17.424|0.007|  13.57| 3.39|  -3.27| 5.65|  0|999.999|999.999
 691|133.070867  11.730667| 959.526|2096.509|21.178|0.171|19.516|0.061|17.540|0.030|  14.82| 8.21|   3.39| 3.81|  1|999.999|999.999
 692|132.658350  11.730327|7067.515|2096.695|20.492|0.086|18.980|0.035|17.331|0.022|   6.72| 4.88|   4.58| 3.75| 14|999.999|999.999
 693|132.860134  11.730753|4079.735|2098.796|11.369|0.029|11.260|0.013|11.111|0.019|  -1.19| 2.32|  -1.01| 3.93| 97|999.999|999.999
 694|132.762152  11.731117|5530.601|2105.990|21.974|0.999|21.067|0.117|19.319|0.050|  -9.64|26.60| -12.02|14.76| 41|999.999|999.999
 695|132.774332  11.731257|5350.244|2107.854|22.085|0.331|20.956|0.104|19.907|0.226|  20.77|17.97|   8.57|22.61|  6|999.999|999.999
 696|132.892494  11.731498|3600.555|2109.668|22.023|0.152|20.823|0.033|18.927|0.040|   2.92|25.47|   0.65|12.26| 46|999.999|999.999
 697|132.789948  11.731373|5119.011|2109.300|21.304|0.217|20.738|0.077|20.329|0.144|  25.17|14.99|  -9.16|12.32|  1|999.999|999.999
 698|132.782449  11.731450|5230.048|2110.614|22.415|0.880|21.336|0.169|20.721|0.999|  13.92|34.69|  31.77|43.79|  5|999.999|999.999
 699|132.947995  11.731780|2778.718|2113.467|21.972|0.145|20.178|0.167|18.170|0.001|   3.21|19.04|  21.12| 8.75|  2|999.999|999.999
 700|132.736907  11.731706|5904.376|2115.456|20.098|0.044|19.533|0.040|18.920|0.017|  15.35| 7.91|  -0.06| 5.35|  0|999.999|999.999
 701|132.772176  11.732462|5382.144|2126.120|21.344|0.199|21.906|0.173|99.999|0.999|  -5.53|12.67|   3.57|17.97| 55|999.999|999.999
 702|132.879645  11.732826|3790.790|2129.895|18.941|0.021|17.525|0.008|16.048|0.015|  -1.61| 1.43|  -0.77| 2.98| 87|999.999|999.999
 703|132.785915  11.733172|5178.686|2136.575|19.480|0.030|18.670|0.038|17.701|0.003|   8.21| 5.95|   2.86| 2.08|  8|999.999|999.999
 704|133.005969  11.733427|1920.320|2138.156|21.591|0.284|20.976|0.179|19.958|0.999|  15.05|20.88|  25.47|23.68|  3|999.999|999.999
 705|132.637887  11.733002|7370.372|2137.759|22.240|0.256|20.257|0.108|17.995|0.008|   1.61| 1.31| -16.01|14.04|  7|999.999|999.999
 706|132.839159  11.733572|4390.271|2141.715|18.272|0.028|17.033|0.009|15.711|0.004|  -1.49| 0.95|  -1.49| 2.32| 88|999.999|999.999
 707|132.621416  11.733681|7614.182|2148.541|21.986|0.046|21.212|0.122|20.270|0.999|  35.22|35.46| -13.80|37.60|  1|999.999|999.999
 708|132.878547  11.734109|3807.032|2149.301|20.101|0.031|19.008|0.049|17.816|0.010|  10.29| 1.67|  -2.32| 6.60|  3|999.999|999.999
 709|132.720897  11.734031|6141.367|2150.990|19.479|0.026|17.976|0.016|16.332|0.003|  -0.42| 3.45|  -0.24| 3.93| 81|999.999|999.999
 710|132.786881  11.734193|5164.368|2151.983|22.109|0.999|21.287|0.178|19.556|0.999|  -8.87|21.06|   7.02|46.35| 56|999.999|999.999
 711|132.626160  11.733899|7543.945|2151.692|20.514|0.034|19.399|0.045|18.311|0.023|  17.43| 5.30|  -2.86| 3.69|  0|999.999|999.999
 712|133.094051  11.734607| 616.292|2156.182|21.136|0.016|19.240|0.041|17.041|0.039|  -9.64| 7.08|  -6.90| 7.97|  9|999.999|999.999
 713|132.840699  11.734734|4367.457|2159.258|14.886|0.017|14.172|0.009|13.421|0.017|   1.55| 1.37|  -0.48| 1.31| 99| 35.443|  0.128
 714|133.044776  11.734950|1345.755|2161.192|10.664|0.005|10.617|0.018|10.431|0.060|   1.96| 3.09|   1.67| 6.78| 97|999.999|999.999
 715|132.757623  11.734815|5597.572|2161.991|21.087|0.074|19.403|0.052|17.391|0.006|  44.39| 4.40| -12.32| 6.78|  0|999.999|999.999
 716|132.996090  11.735515|2066.556|2169.744|17.519|0.010|16.723|0.009|15.841|0.010|   6.31| 4.40|  -8.03| 4.82|  0|999.999|999.999
 717|132.970373  11.735487|2447.328|2169.401|16.539|0.001|15.643|0.005|14.713|0.012|  -1.49| 3.09| -11.78|13.74|  0|999.999|999.999
 718|132.748556  11.735573|5731.798|2173.649|15.403|0.003|14.610|0.011|13.743|0.002|  -2.20| 2.92|   1.73| 1.43| 98|999.999|999.999
 719|132.941539  11.735925|2874.262|2176.176|13.946|0.006|13.373|0.011|12.707|0.010|   0.18| 0.89|  -1.07| 1.07|100|999.999|999.999
 720|132.842857  11.735832|4335.468|2175.817|17.437|0.008|16.369|0.012|15.264|0.000|   0.83| 0.30|  -2.26| 1.55| 92|999.999|999.999
 721|132.848834  11.736319|4246.959|2183.100|21.595|0.115|20.288|0.167|17.911|0.030|   7.38| 3.45|  -9.40| 6.19| 13|999.999|999.999
 722|132.995084  11.736782|2081.440|2188.895|20.010|0.044|18.599|0.023|17.060|0.033|   7.97| 3.33| -12.79| 2.20|  0|999.999|999.999
 723|132.727094  11.736647|6049.552|2190.386|99.999|0.999|21.430|0.067|18.939|0.999|   2.20|23.15|  -5.30|18.39| 48|999.999|999.999
 724|133.068132  11.737024| 999.974|2192.606|17.680|0.004|16.550|0.008|15.297|0.011|   0.48| 2.02|   0.89| 3.39| 94|999.999|999.999
 725|132.728189  11.737279|6033.317|2199.905|18.527|0.014|17.274|0.006|15.834|0.006|   2.02| 1.73|   1.25| 1.96| 85|999.999|999.999
 726|132.886203  11.737661|3693.603|2202.906|22.283|0.335|21.068|0.292|19.606|0.999|  -3.33|14.70|   2.32| 4.22| 55|999.999|999.999
 727|132.801039  11.737645|4954.652|2203.910|20.843|0.016|19.922|0.027|18.932|0.007|   2.26| 8.33|  -1.61| 7.97| 34|999.999|999.999
 728|132.892347  11.738109|3602.615|2209.609|20.587|0.026|19.471|0.057|18.061|0.027|   6.90| 9.28|   6.66| 4.58| 12|999.999|999.999
 729|132.860743  11.739372|4070.564|2229.076|15.967|0.009|15.312|0.021|14.590|0.005|  11.13| 3.57| -10.47| 2.98|  0|999.999|999.999
 730|133.084651  11.739566| 755.424|2231.114|18.918|0.012|18.068|0.023|17.121|0.004|   8.27| 2.62| -10.06| 1.73|  0|999.999|999.999
 731|132.884860  11.739487|3713.465|2230.522|19.271|0.036|17.798|0.008|16.199|0.016|   0.42| 3.03|  -0.36| 1.78| 82|999.999|999.999
 732|133.014660  11.739652|1791.583|2232.259|21.352|0.169|19.678|0.081|17.520|0.015|  10.77| 4.76|  -9.82| 7.02|  1|999.999|999.999
 733|132.589324  11.739323|8089.030|2234.926|22.268|0.562|20.610|0.040|18.668|0.090|  14.70| 7.68|  10.59|14.93|  8|999.999|999.999
 734|132.777230  11.739934|5307.131|2238.966|20.416|0.061|20.034|0.048|19.299|0.020|  21.54| 7.02|   4.34|10.17|  0|999.999|999.999
 735|132.623370  11.739668|7585.070|2238.982|21.414|0.106|20.015|0.064|18.038|0.012|  12.85| 8.21|  -4.76|13.15|  4|999.999|999.999
 736|132.806202  11.740468|4878.145|2246.499|22.849|0.622|20.694|0.101|18.200|0.106|  21.66|20.29|   4.22|13.39|  4|999.999|999.999
 737|133.085189  11.740600| 747.447|2246.752|21.869|0.309|21.615|0.032|20.478|0.999|  -7.74|52.12| -18.09| 3.93| 41|999.999|999.999
 738|133.077408  11.740657| 862.635|2247.567|11.427|0.015|10.354|0.038| 9.238|0.019|  -0.36| 2.68|   3.81| 6.66| 96|999.999|999.999
 739|132.782538  11.740494|5228.527|2247.332|99.999|0.999|21.491|0.241|19.172|0.999|  15.23|14.16|   8.51|27.85| 30|999.999|999.999
 740|132.931459  11.740691|3023.454|2248.295|11.875|0.011|10.712|0.027| 9.595|0.477|  48.73|54.74|  -1.13| 2.74|  0|999.999|999.999
 741|132.658540  11.740411|7064.408|2249.130|17.299|0.006|16.258|0.009|15.185|0.002|   1.43| 3.39|   2.62| 4.11| 90|999.999|999.999
 742|132.834062  11.740990|4465.609|2253.917|21.580|0.203|20.920|0.110|20.239|0.035|  11.30| 8.45|   3.09|15.77| 27|999.999|999.999
 743|132.884876  11.741280|3713.189|2257.631|99.999|0.999|21.122|0.035|18.824|0.999| -23.09| 2.02|   0.89| 4.88| 41|999.999|999.999
 744|132.926585  11.741369|3095.605|2258.580|18.318|0.012|17.435|0.006|16.432|0.002|   8.69| 1.55|  -8.33| 4.22|  0|999.999|999.999
 745|132.756421  11.741409|5615.209|2261.703|20.352|0.021|19.040|0.049|17.568|0.017|   7.20| 8.21|  10.35| 7.44|  1|999.999|999.999
 746|132.823840  11.741539|4616.959|2262.390|16.304|0.001|15.361|0.002|14.275|0.004|  -1.31| 3.27|   0.65| 2.26| 98|999.999|999.999
 747|133.052202  11.741809|1235.770|2264.892|20.116|0.054|19.563|0.052|18.892|0.040|  13.92| 6.60|   5.12| 3.15|  1|999.999|999.999
 748|132.561022  11.741564|8507.850|2269.829|99.999|0.999|15.030|0.006|14.186|0.010|  -3.03| 3.45|  -3.03| 2.38| 86|999.999|999.999
 749|132.604699  11.742518|7861.355|2282.694|20.805|0.067|19.324|0.053|17.704|0.014|  14.34| 3.21| -20.88| 4.46|  0|999.999|999.999
 750|132.722677  11.742964|6114.793|2285.988|14.215|0.007|13.576|0.014|12.865|0.005|   0.18| 2.08|   1.07| 2.20|100| 33.709|  0.136
 751|132.784313  11.743137|5202.189|2287.243|99.999|0.999|21.249|0.294|19.404|0.999|   4.22|18.21|   7.08|10.89| 47|999.999|999.999
 752|132.755507  11.743329|5628.706|2290.746|20.237|0.055|19.329|0.062|18.287|0.002|  11.07| 4.05|   6.96| 6.13|  1|999.999|999.999
 753|132.583164  11.743124|8180.090|2292.600|16.781|0.007|16.006|0.010|15.200|0.011|   5.41| 1.13|  -6.66| 2.62|  1|999.999|999.999
 754|132.929098  11.743785|3058.367|2295.087|19.852|0.044|18.948|0.021|17.918|0.003|   5.59| 3.15|  -4.58| 6.72| 18|999.999|999.999
 755|132.842416  11.744158|4341.848|2301.684|18.230|0.007|17.441|0.004|16.595|0.004|   7.02| 1.73|  -0.77| 1.25| 14|999.999|999.999
 756|132.947493  11.745099|2785.992|2314.821|15.393|0.011|14.695|0.008|13.923|0.009|   3.03| 0.89|   5.06| 1.73| 47| 45.979|  0.146
 757|132.950397  11.746053|2742.974|2329.230|20.552|0.073|19.216|0.041|17.709|0.027|   6.78| 4.11|   2.56| 4.34| 18|999.999|999.999
 758|133.044245  11.746198|1353.534|2331.229|20.164|0.068|18.803|0.031|17.307|0.023|  14.64| 5.00|   2.86| 3.99|  0|999.999|999.999
 759|132.847779  11.746163|4262.397|2331.928|19.930|0.077|18.243|0.019|16.304|0.015|   7.08| 4.17|  -3.45| 2.44|  9|999.999|999.999
 760|132.907990  11.746538|3370.869|2336.888|99.999|0.999|21.060|0.102|18.751|0.999|  28.86|16.42|   0.77|39.69|  3|999.999|999.999
 761|132.659792  11.746827|7045.674|2346.080|99.999|0.999|22.346|0.439|99.999|0.999|  -6.37|18.80|  16.60|14.34| 39|999.999|999.999
 762|132.942655  11.747701|2857.584|2354.196|18.856|0.025|18.054|0.015|17.147|0.001|   5.59| 2.80|  -0.24| 0.89| 33|999.999|999.999
 763|132.919151  11.747702|3205.593|2354.384|20.160|0.032|19.720|0.055|19.080|0.001|  20.88| 9.22|  -0.83| 5.59|  0|999.999|999.999
 764|132.746472  11.747691|5762.359|2356.887|21.960|0.245|20.595|0.006|18.568|0.066|  11.19| 3.45|   8.92| 7.38| 16|999.999|999.999
 765|132.922029  11.748077|3162.966|2360.031|15.649|0.014|14.900|0.006|14.094|0.006|   9.46| 0.65|   2.26| 1.01|  0|-35.403|  0.115
 766|132.627622  11.747636|7521.875|2359.300|22.505|0.666|20.492|0.154|18.134|0.039|  -0.12|11.30|  -5.12|14.10| 41|999.999|999.999
 767|132.935952  11.748276|2956.827|2362.935|24.715|0.572|21.001|0.012|18.852|0.175|  -1.78|26.83|  12.14|15.65| 45|999.999|999.999
 768|132.839361  11.749017|4386.995|2375.194|22.346|0.999|20.835|0.088|18.215|0.284|   8.75|15.83| -12.91| 9.58| 19|999.999|999.999
 769|132.959247  11.749185|2611.903|2376.524|14.119|0.004|13.478|0.003|12.771|0.005|  -0.36| 1.13|   0.12| 2.98|100| 34.414|  0.166
 770|132.944358  11.749472|2832.338|2380.956|13.395|0.009|12.863|0.002|12.232|0.011|  13.63| 0.42| -13.69| 0.42|  0|999.999|999.999
 771|132.645745  11.749266|7253.549|2383.364|21.657|0.146|20.066|0.118|17.530|0.117|  14.82|11.07|  -6.78| 5.83|  2|999.999|999.999
 772|132.958834  11.750088|2618.007|2390.183|14.395|0.005|13.772|0.003|13.067|0.000|  -0.65| 1.13|   0.24| 1.07| 99|999.999|999.999
 773|132.612641  11.749680|7743.560|2390.684|21.494|0.018|20.749|0.056|20.082|0.026|   1.31|23.32|  -0.71| 4.70| 46|999.999|999.999
 774|132.936463  11.750354|2949.231|2394.345|13.937|0.010|13.348|0.004|12.695|0.011|  -0.95| 1.78|   0.24| 0.77|100| 35.244|  0.082
 775|132.914758  11.750374|3270.594|2394.821|16.127|0.004|15.307|0.003|14.434|0.002|   1.43| 1.49|  -1.07| 1.84| 97|999.999|999.999
 776|133.016606  11.750560|1762.673|2397.162|18.998|0.012|17.527|0.015|15.909|0.030|   3.69| 2.62|  -1.31| 3.57| 65|999.999|999.999
 777|133.014449  11.750512|1794.611|2396.435|99.999|0.999|22.430|0.318|99.999|0.999|  -5.30| 5.83|  -5.77|26.06| 31|999.999|999.999
 778|132.836684  11.750684|4426.603|2400.428|13.716|0.010|13.093|0.011|12.411|0.011|   1.37| 1.78|   2.98| 4.40| 99| 33.815|  0.122
 779|132.764642  11.750775|5493.270|2403.103|11.556|0.006|11.305|0.013|10.947|0.026|   0.59| 1.55|   2.98| 2.26| 96| 24.616|  0.316
 780|132.795637  11.750879|5034.359|2404.066|22.065|0.170|21.261|0.215|19.190|0.999|   3.63| 5.95|   6.84|28.02| 48|999.999|999.999
 781|133.012414  11.751098|1824.733|2405.292|16.735|0.008|15.975|0.012|15.148|0.005|  12.91| 1.19|  -7.20| 5.30|  0|999.999|999.999
 782|132.626350  11.750949|7540.592|2409.412|22.499|0.185|21.137|0.073|20.206|0.999| -39.21|43.97| -86.27|37.01|  0|999.999|999.999
 783|133.063763  11.751491|1064.566|2411.312|22.261|0.242|20.721|0.149|18.566|0.059|  -0.24|17.02| -19.16|21.36| 13|999.999|999.999
 784|133.066288  11.751784|1027.176|2415.739|22.831|0.999|21.668|0.084|20.432|0.999|  -0.54|28.38| -32.43|28.20| 18|999.999|999.999
 785|132.876541  11.751682|3836.434|2414.987|20.544|0.028|18.946|0.035|17.224|0.002|  13.51| 3.03|  -7.68| 4.46|  0|999.999|999.999
 786|132.953363  11.751895|2698.989|2417.527|17.006|0.006|15.553|0.012|13.934|0.034|  -6.31| 1.49|  -3.99| 0.65|  6|999.999|999.999
 787|132.874020  11.751835|3873.752|2417.327|19.242|0.012|17.776|0.024|16.197|0.007|  -0.95| 3.57|   2.86| 3.33| 77|999.999|999.999
 788|132.632309  11.751487|7452.375|2417.360|21.791|0.069|20.364|0.155|17.792|0.028|  11.01|15.23|  -1.49| 9.22| 15|999.999|999.999
 789|132.951895  11.752037|2720.727|2419.680|22.309|0.570|21.116|0.047|18.056|0.999| -32.61|48.79|  -1.43|11.13| 21|999.999|999.999
 790|132.953206  11.752109|2701.311|2420.769|19.666|0.044|17.879|0.042|15.699|0.401|  -1.73|30.23|   5.41|25.35| 49|999.999|999.999
 791|132.584955  11.751759|8153.288|2423.066|99.999|0.999|21.179|0.315|19.059|0.999|  12.44|27.73| -18.68|19.75| 14|999.999|999.999
 792|132.781991  11.752242|5236.367|2424.933|21.863|0.217|20.189|0.096|18.954|0.074|  35.82|15.47|  -2.26|18.33|  0|999.999|999.999
